RegionCode,RegionName,Latitude,Longitude
13,Abruzzo,42.35122196,13.39843823
17,Basilicata,40.63947052,15.80514834
18,Calabria,38.90597598,16.59440194
15,Campania,40.83956555,14.25084984
8,Emilia-Romagna,44.49436681,11.3417208
6,Friuli Venezia Giulia,45.6494354,13.76813649
12,Lazio,41.89277044,12.48366722
7,Liguria,44.41149315,8.9326992
3,Lombardia,47.5,5.0
11,Marche,43.61675973,13.5188753
14,Molise,41.55774754,14.65916051
21,P.A. Bolzano,46.49933453,11.35662422
22,P.A. Trento,46.06893511,11.12123097
1,Piemonte,45.0732745,7.680687483
16,Puglia,41.12559576,16.86736689
20,Sardegna,39.21531192,9.110616306
19,Sicilia,38.11569725,13.362356699999998
9,Toscana,43.76923077,11.25588885
10,Umbria,43.10675841,12.38824698
2,Valle d'Aosta,45.73750286,7.320149366
5,Veneto,45.43490485,12.33845213
